orbit,packings
0,815
1,822
2,1047
3,1112
4,998
5,1022
6,1026
7,1598
8,954
9,1410
10,1028
11,1465
12,1573
13,1559
14,1630
15,953
16,1263
17,652
18,1326
19,1301
20,895
21,817
22,1295
23,985
24,1096
25,1034
26,1027
27,1321
28,1046
29,453
30,1313
31,827
32,1230
33,594
34,963
35,1328
36,852
37,1385
38,766
39,1208
40,881
41,1377
42,987
43,951
44,1094
45,904
46,622
47,460
48,1358
49,590
50,1072
51,591
52,727
53,590
54,655
55,1081
56,603
57,936
58,844
59,409
60,711
61,391
62,1144
63,1288
64,1013
65,860
66,794
67,560
68,779
69,812
70,902
71,589
72,538
73,1370
74,1130
75,888
76,579
77,603
78,1326
79,909
80,984
81,365
82,724
83,796
84,533
85,1360
86,1132
87,834
88,932
89,1126
90,968
91,834
92,889
93,678
94,1383
95,745
96,1160
97,1292
98,1167
99,828
100,872
101,860
102,1214
103,1195
104,901
105,1202
106,818
107,781
108,1367
109,685
110,1370
111,592
112,968
113,1156
114,895
115,365
116,861
117,1302
118,676
119,1095
120,748
121,1259
122,926
123,1097
124,816
125,940
126,1072
127,498
128,870
129,1127
130,560
131,468
132,356
133,1057
134,714
135,716
136,1074
137,816
138,862
139,1020
140,1077
141,1373
142,1195
143,697
144,1268
145,1316
146,1295
147,711
148,977
149,1308
150,1244
151,947
152,744
153,1049
154,849
155,622
156,1243
157,1266
158,1332
159,424
160,1325
161,916
162,1067
163,829
164,1171
165,1143
166,486
167,805
168,825
169,1096
170,1024
171,1249
172,1201
173,1264
174,1106
175,543
176,1260
177,1206
178,577
179,606
180,1253
181,766
182,1211
183,811
184,727
185,876
186,449
187,552
188,1062
189,1078
190,1096
191,1017
192,1370
193,1054
194,827
195,524
196,1073
197,568
198,821
199,600
200,1105
201,575
202,702
203,1222
204,867
205,867
206,434
207,804
208,1190
209,516
210,415
211,1083
212,771
213,775
214,854
215,450
216,1313
217,524
218,1013
219,876
220,332
221,1291
222,1347
223,1119
224,816
225,1073
226,1038
227,1092
228,1106
229,1249
230,1278
231,756
232,767
233,808
234,1067
235,1301
236,770
237,383
238,1261
239,1280
240,645
241,1242
242,883
243,1264
244,881
245,1303
246,664
247,999
248,659
249,790
250,866
251,1091
252,990
253,1096
254,753
255,1006
256,694
257,654
258,535
259,608
260,986
261,1235
262,684
263,1253
264,758
265,1125
266,885
267,808
268,581
269,1185
270,507
271,780
272,475
273,1042
274,467
275,669
276,531
277,1046
278,918
279,486
280,977
281,436
282,506
283,723
284,1260
285,943
286,787
287,674
288,1005
289,849
290,1215
291,711
292,764
293,793
294,674
295,978
296,706
297,1121
298,822
299,777
300,735
301,783
302,498
303,511
304,584
305,643
306,1216
307,959
308,760
309,457
310,846
311,571
312,565
313,828
314,956
315,372
316,287
317,757
318,425
319,524
320,1035
321,500
322,643
323,631
324,263
325,665
326,710
327,640
328,1079
329,786
330,1158
331,401
332,542
333,777
334,620
335,707
336,1125
337,569
338,806
339,409
340,345
341,1004
342,758
343,545
344,481
345,818
346,1138
347,766
348,351
349,632
350,636
351,968
352,709
353,1164
354,1038
355,589
356,327
357,849
358,467
359,538
360,676
361,610
362,541
363,1039
364,731
365,697
366,677
367,688
368,621
369,553
370,905
371,487
372,353
373,696
374,682
375,466
376,1019
377,980
378,668
379,402
380,916
381,766
382,549
383,800
384,653
385,735
386,748
387,315
388,726
389,657
390,974
391,631
392,553
393,798
394,338
395,734
396,781
397,385
398,599
399,1046
400,1102
401,1169
402,757
403,863
404,608
405,699
406,689
407,470
408,658
409,366
410,769
411,514
412,320
413,1045
414,722
415,389
416,1159
417,449
418,698
419,967
420,618
421,317
422,768
423,689
424,466
425,983
426,586
427,290
428,565
429,579
430,939
431,453
432,1163
433,1131
434,503
435,729
436,546
437,587
438,1126
439,937
440,272
441,1122
442,551
443,580
444,483
445,623
446,440
447,273
448,923
449,611
450,780
451,684
452,661
453,345
454,363
455,768
456,586
457,657
458,455
459,645
460,605
461,857
462,380
463,308
464,701
465,875
466,764
467,545
468,642
469,863
470,700
471,623
472,847
473,413
474,316
475,322
476,940
477,858
478,383
479,550
480,916
481,514
482,905
483,344
484,664
485,697
486,375
487,338
488,485
489,775
490,970
491,398
492,710
493,435
494,993
495,519
496,1013
497,378
498,902
499,613
500,673
501,982
502,379
503,570
504,609
505,921
506,418
507,881
508,624
509,1029
510,448
511,728
512,416
513,424
514,727
515,627
516,333
517,729
518,495
519,892
520,624
521,482
522,782
523,1020
524,643
525,681
526,334
527,826
528,644
529,324
530,545
531,455
532,517
533,427
534,919
535,504
536,973
537,545
538,355
539,684
540,400
541,688
542,386
543,484
544,201
545,767
546,520
547,613
548,814
549,342
550,812
551,824
552,548
553,467
554,728
555,686
556,698
557,428
558,665
559,606
560,773
561,1080
562,235
563,875
564,718
565,286
566,678
567,830
568,578
569,848
570,655
571,455
572,479
573,690
574,400
575,770
576,1123
577,771
578,324
579,561
580,652
581,379
582,483
583,506
584,680
585,825
586,590
587,380
588,360
589,645
590,322
591,720
592,684
593,566
594,916
595,367
596,469
597,436
598,705
599,906
600,426
601,809
602,754
603,376
604,641
605,505
606,396
607,575
608,787
609,670
610,736
611,644
612,907
613,821
614,710
615,635
616,508
617,369
618,532
619,515
620,441
621,505
622,676
623,650
624,292
625,223
626,318
627,590
628,479
629,493
630,691
631,388
632,567
633,392
634,624
635,419
636,318
637,574
638,639
639,495
640,445
641,251
642,327
643,362
644,926
645,215
646,892
647,495
648,532
649,259
650,599
651,565
652,645
653,506
654,307
655,313
656,425
657,579
658,485
659,654
660,391
661,366
662,1043
663,978
664,338
665,311
666,679
667,763
668,560
669,338
670,849
671,217
672,533
673,217
674,370
675,364
676,201
677,582
678,473
679,756
680,908
681,163
682,626
683,876
684,499
685,620
686,597
687,698
688,696
689,383
690,497
691,819
692,602
693,299
694,513
695,275
696,351
697,277
698,817
699,284
700,822
701,605
702,356
703,520
704,455
705,550
706,363
707,333
708,682
709,676
710,596
711,949
712,397
713,982
714,630
715,516
716,465
717,260
718,815
719,662
720,566
721,337
722,685
723,535
724,635
725,547
726,361
727,1056
728,386
729,778
730,651
731,549
732,440
733,366
734,494
735,619
736,849
737,524
738,398
739,937
740,760
741,527
742,834
743,544
744,463
745,594
746,465
747,473
748,176
749,334
750,698
751,399
752,802
753,664
754,347
755,157
756,545
757,299
758,401
759,465
760,664
761,839
762,583
763,538
764,628
765,633
766,701
767,960
768,854
769,316
770,693
771,553
772,430
773,967
774,326
775,501
776,295
777,873
778,704
779,341
780,384
781,676
782,699
783,483
784,786
785,561
786,655
787,516
788,325
789,411
790,407
791,617
792,348
793,630
794,345
795,648
796,759
797,282
798,727
799,995
800,318
801,244
802,324
803,517
804,495
805,913
806,620
807,690
808,280
809,620
810,556
811,899
812,287
813,397
814,263
815,483
816,307
817,374
818,688
819,206
820,981
821,507
822,474
823,544
824,707
825,296
826,720
827,349
828,581
829,496
830,237
831,385
832,792
833,344
834,192
835,289
836,233
837,605
838,426
839,603
840,340
841,308
842,579
843,379
844,337
845,706
846,246
847,501
848,533
849,460
850,449
851,479
852,254
853,285
854,245
855,495
856,187
857,737
858,628
859,601
860,444
861,355
862,457
863,209
864,544
865,185
866,443
867,524
868,318
869,373
870,318
871,843
872,806
873,634
874,287
875,332
876,478
877,554
878,787
879,462
880,352
881,841
882,380
883,761
884,599
885,267
886,225
887,609
888,767
889,529
890,517
891,363
892,428
893,652
894,356
895,614
896,955
897,251
898,176
899,299
900,360
901,683
902,536
903,448
904,588
905,376
906,260
907,601
908,934
909,789
910,430
911,758
912,938
913,460
914,606
915,289
916,275
917,179
918,258
919,627
920,234
921,610
922,235
923,535
924,481
925,659
926,492
927,581
928,709
929,534
930,328
931,710
932,540
933,400
934,271
935,645
936,347
937,869
938,324
939,728
940,893
941,609
942,320
943,505
944,387
945,338
946,289
947,243
948,439
949,880
950,262
951,423
952,469
953,289
954,615
955,892
956,396
957,332
958,807
959,271
960,352
961,619
962,963
963,858
964,483
965,343
966,697
967,690
968,243
969,590
970,789
971,284
972,266
973,513
974,329
975,381
976,443
977,502
978,544
979,809
980,494
981,304
982,742
983,788
984,192
985,469
986,635
987,296
988,461
989,143
990,777
991,661
992,156
993,514
994,787
995,263
996,263
997,792
998,612
999,544
1000,680
1001,268
1002,388
1003,336
1004,141
1005,434
1006,595
1007,493
1008,937
1009,246
1010,465
1011,785
1012,414
1013,639
1014,210
1015,245
1016,657
1017,222
1018,455
1019,401
1020,310
1021,350
1022,713
1023,270
1024,402
1025,559
1026,296
1027,442
1028,424
1029,764
1030,470
1031,669
1032,948
1033,398
1034,411
1035,169
1036,449
1037,427
1038,741
1039,769
1040,419
1041,330
1042,427
1043,300
1044,432
1045,557
1046,273
1047,551
1048,151
1049,462
1050,324
1051,340
1052,361
1053,718
1054,705
1055,829
1056,399
1057,585
1058,356
1059,254
1060,371
1061,228
1062,428
1063,480
1064,153
1065,378
1066,773
1067,868
1068,424
1069,404
1070,430
1071,426
1072,554
1073,359
1074,279
1075,196
1076,380
1077,287
1078,527
1079,566
1080,184
1081,394
1082,267
1083,454
1084,298
1085,522
1086,583
1087,744
1088,96
1089,804
1090,122
1091,421
1092,492
1093,439
1094,145
1095,711
1096,533
1097,271
1098,271
1099,162
1100,457
1101,446
1102,867
1103,195
1104,788
1105,160
1106,504
1107,429
1108,300
1109,216
1110,332
1111,355
1112,165
1113,548
1114,549
1115,360
1116,623
1117,130
1118,768
1119,502
1120,330
1121,863
1122,96
1123,596
1124,403
1125,216
1126,203
1127,492
1128,300
1129,583
1130,333
1131,499
1132,263
1133,752
1134,208
1135,607
1136,403
1137,421
1138,678
1139,536
1140,380
1141,881
1142,422
1143,273
1144,203
1145,130
1146,704
1147,632
1148,844
1149,382
1150,114
1151,287
1152,637
1153,281
1154,250
1155,84
1156,275
1157,268
1158,282
1159,678
1160,253
1161,470
1162,431
1163,818
1164,701
1165,367
1166,484
1167,221
1168,288
1169,522
1170,137
1171,493
1172,250
